item_id,task,context,context_without_dialog_prefix,dialog_prefix,dialog,true_intention,incorrect_literal_intention,original_prompt_str,person1,person2,options_dict,intention_pronoun,turn1_true_intention_dialog,turn1_literal_intention_dialog,turn2_response_from_literal_intention,turn2_response_from_true_intention,,
2,irony,"Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ","Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. ","Christian says, ","""You are such a wonderful listener."" ",Shane was not paying attention when Christian was talking.,Shane was paying attention when Christian was talking. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
Options:
1) Shane was not paying attention when Christian was talking.
2) Shane was paying attention when Christian was talking.
3) Shane needs to see an eye doctor.
4) Shane's hearing improved greatly.
Answer: ",Christian,Shane,"{""'CorrectNonLiteral'"": 'Shane was not paying attention when Christian was talking.', ""'IncorrectLiteral'"": 'Shane was paying attention when Christian was talking.', ""'IncorrectNonSequitur'"": 'Shane needs to see an eye doctor.', ""'IncorrectAssociate'"": ""Shane's hearing improved greatly.""}",Shane,"""You weren't really paying attention when I was talking, were you?""","""I noticed you were really paying attention when I was talking.""","Yes, Christian, I was indeed concentrating on what you were saying.","""No, I wasn't really paying attention when you were talking.""",,
3,irony,"Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ","Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. ","Andrew says, ","""You are so good at this."" ",Phil's basketball skills could be better.,Andrew wants to say Phil is a great basketball player. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? 
Options:
1) Phil's basketball skills could be better.
2) Phil is a great student.
3) Phil is a great basketball player.
4) Phil's blocking is impressive.
Answer: ",Andrew,Phil,"{""'CorrectNonLiteral'"": ""Phil's basketball skills could be better."", ""'IncorrectNonSequitur'"": 'Phil is a great student.', ""'IncorrectLiteral'"": 'Phil is a great basketball player.', ""'IncorrectAssociate'"": ""Phil's blocking is impressive.""}",he,"""You could certainly improve on your basketball skills.""","""You're truly a phenomenal basketball player.""","""Thank you for your compliment, Andrew.""","""Yes, Andrew, I will continue to work on my skills.""",,
4,irony,"Patrick and Jon like to eat at restaurants. One afternoon, they are at a restaurant eating lunch. Patrick orders a bowl of noodles and Jon orders a rice dish. While eating his meal, Patrick spills some noodles on his shirt. Jon says, ","Patrick and Jon like to eat at restaurants. One afternoon, they are at a restaurant eating lunch. Patrick orders a bowl of noodles and Jon orders a rice dish. While eating his meal, Patrick spills some noodles on his shirt. ","Jon says, ","""You are so graceful."" ",Jon wants to tell Patrick that he is careless.,Jon thinks Patrick is very cautious. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Patrick and Jon like to eat at restaurants. One afternoon, they are at a restaurant eating lunch. Patrick orders a bowl of noodles and Jon orders a rice dish. While eating his meal, Patrick spills some noodles on his shirt. Jon says, ""You are so graceful."" What did Jon want to convey?
Options:
1) Patrick is allergic to noodles.
2) Patrick is careless.
3) Patrick pays a lot of attention to fashion.
4) Patrick is very cautious.
Answer: ",Jon,Patrick,"{""'IncorrectAssociate'"": 'Patrick is allergic to noodles.', ""'CorrectNonLiteral'"": 'Patrick is careless.', ""'IncorrectNonSequitur'"": 'Patrick pays a lot of attention to fashion.', ""'IncorrectLiteral'"": 'Patrick is very cautious.'}",Patrick,"""You really need to be more mindful, you've been acting quite careless lately.""","""Patrick, you are very cautious.""","""Yes, Jon, I tend to be cautious in my approach.""","I'm sorry, I didn't realise I was being careless, I'll be more mindful in the future.",,
5,irony,"Today Sarah and Tom are going to the beach to go swimming and sunbathing. It was Tom's idea, as he said it was going to be a lovely sunny day to go to the beach. But just as they arrive at the beach, it starts to rain and thunder. Sarah becomes angry. She says ","Today Sarah and Tom are going to the beach to go swimming and sunbathing. It was Tom's idea, as he said it was going to be a lovely sunny day to go to the beach. But just as they arrive at the beach, it starts to rain and thunder. Sarah becomes angry. ",She says ,"""Oh yes, a lovely day for going to the beach."" ",Tom's idea to go to the beach was awful.,Tom's idea to go to the beach was genius.  ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Today Sarah and Tom are going to the beach to go swimming and sunbathing. It was Tom's idea, as he said it was going to be a lovely sunny day to go to the beach. But just as they arrive at the beach, it starts to rain and thunder. Sarah becomes angry. She says ""Oh yes, a lovely day for going to the beach."" What did Sarah want to convey?
Options:
1) Tom forgot his sunscreen.
2) Tom's idea to go to the beach was awful.
3) Tom's idea to go to the beach was genius. 
4) Tom forgot his passport.
Answer: ",Sarah,Tom,"{""'IncorrectAssociate'"": 'Tom forgot his sunscreen.', ""'CorrectNonLiteral'"": ""Tom's idea to go to the beach was awful."", ""'IncorrectLiteral'"": ""Tom's idea to go to the beach was genius. "", ""'IncorrectNonSequitur'"": 'Tom forgot his passport.'}",she,"""Your idea of going to the beach was really awful, Tom.""","""Your idea to go to the beach was very good!.""","I'm glad you enjoyed the beach, Sarah.","""I'm sorry Sarah, I didn't predict the weather would change.""",,
6,irony,It is a holiday. Stefan and Kim are sitting in the backseat of the car. They are fighting all the time. Their father says:,It is a holiday. Stefan and Kim are sitting in the backseat of the car with their father. They are fighting all the time. ,Their father says:," ""Oh, it is so pleasant here."" ",He does not want to listen to his kids' arguments.,He enjoys listening to his kids fighting. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: It is a holiday. Stefan and Kim are sitting in the backseat of the car. They are fighting all the time. Their father says: ""Oh, it is so pleasant here."" What did the father want to convey?
Options:
1) AC gives them some needed cool.
2) He does not want to listen to his kids' arguments.
3) He remembers about his wife's birthday.
4) He enjoys listening to his kids fighting.
Answer: ",The father,Stephan,"{""'IncorrectAssociate'"": 'AC gives them some needed cool.', ""'CorrectNonLiteral'"": ""He does not want to listen to his kids' arguments."", ""'IncorrectNonSequitur'"": ""He remembers about his wife's birthday."", ""'IncorrectLiteral'"": 'He enjoys listening to his kids fighting.'}",he,"""I'm tired of listening to you kids' constant arguing. I just can't listen to them anymore.""","""Its actually quite wholesome hearing you children have healthy debates, Stephan.""","Thanks, Dad, I'm glad you appreciate our lively discussions.","""Okay, dad, Kim and I will stop arguing.""",,
7,irony,"Kim and Jane are leaving the football stadium. Jane says, ""What a wonderful game."" Kim looks disappointed. Kim replies:","Kim and Jane are leaving the football stadium. Jane says, ""What a wonderful game."" Kim looks disappointed. ",Kim replies:,"""Oh yeah, absolute highlight of my year. """,The game was a disaster.,The game was outstanding. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Kim and Jane are leaving the football stadium. Jane says, ""What a wonderful game."" Kim looks disappointed. Kim replies: ""Sorry I made you come."" What did Jane want to convey?
Options:
1) The game of chess was over.    
2) The game ended too late.
3) The game was outstanding.
4) The game was a disaster.
Answer: ",Kim,Jane,"{""'IncorrectNonSequitur'"": 'The game of chess was over.    ', ""'IncorrectAssociate'"": 'The game ended too late.', ""'IncorrectLiteral'"": 'The game was outstanding.', ""'CorrectNonLiteral'"": 'The game was a disaster.'}",she,"""That game was an absolute catastrophe, don't you agree?""","""Yeah! It was absolutely outstanding!""","I agree, Kim, the game was indeed outstanding.","""No, I thought it was great.""",,
8,irony,"Mark entered a golf tournament where he played badly and kept missing very easy shots. His friend Hal watched the tournament and afterwards he said to Mark,",Mark entered a golf tournament where he played badly and kept missing very easy shots. His friend Hal watched the tournament. ,"He afterwards he said to Mark,"," ""You sure are a good golfer."" ",Hal thinks Mark isn't a good player.,Hal thinks Mark is an exceptional player. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Mark entered a golf tournament where he played badly and kept missing very easy shots. His friend Hal watched the tournament and afterwards he said to Mark, ""You sure are a good golfer."" What did Hal want to convey?
Options:
1) Mark forgot to thank his dentist.  
2) Mark is an exceptional player.
3) Mark isn't a good player.
4) Mark forgot to thank his caddy.
Answer: ",Hal,Mark,"{""'IncorrectNonSequitur'"": 'Mark forgot to thank his dentist.  ', ""'IncorrectLiteral'"": 'Mark is an exceptional player.', ""'CorrectNonLiteral'"": ""Mark isn't a good player."", ""'IncorrectAssociate'"": 'Mark forgot to thank his caddy.'}",he,"""I don't think you're a good player.""","""Mark, I genuinely believe you're an exceptional player.""","Thank you, Hal, for your belief in my abilities.","""I appreciate your opinion, Hal, and will work on improving my game.""",,
9,irony,"Adrian's mother asks if he can look in his brother Tom's room to check if he has tidied up. Adrian opens the door to Tom's room, peers in, and sees that the room appears as it normally does - cluttered with toys and dirty clothes. He shouts to his mother:","Adrian's mother asks if he can look in his brother Tom's room to check if he has tidied up. Adrian opens the door to Tom's room, peers in, and sees that the room appears as it normally does - cluttered with toys and dirty clothes. ",He shouts to his mother:," ""Mother, Tom, as usual, has done a splendid job tidying up!"" ",Tom's room is still messy.,Adrian sees that Tom tidied up his room. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Adrian's mother asks if he can look in his brother Tom's room to check if he has tidied up. Adrian opens the door to Tom's room, peers in, and sees that the room appears as it normally does - cluttered with toys and dirty clothes. He shouts to his mother: ""Mother, Tom, as usual, has done a splendid job tidying up!"" What did Adrian want to convey?
Options:
1) Tom cannot find a lawyer. 
2) Tom cannot find a vacuum.
3) Tom's room is still messy.
4) Tom tidied up his room.
Answer: ",Adrian,His mother,"{""'IncorrectNonSequitur'"": 'Tom cannot find a lawyer. ', ""'IncorrectAssociate'"": 'Tom cannot find a vacuum.', ""'CorrectNonLiteral'"": ""Tom's room is still messy."", ""'IncorrectLiteral'"": 'Tom tidied up his room.'}",he,"""Mom, my room is still a mess!""","""Mom, Tom cleaned up his room!""","That's good, I'm glad to hear Tom is keeping his room tidy.","""Adrian, please tell your brother to clean his room.""",,
10,irony,"Callie promised to bring a salad to Jason's dinner party. She arrived two hours late. Jason said,",Callie promised to bring a salad to Jason's dinner party. She arrived two hours late. ,"Jason said,"," ""I'm so glad that you were able to fit us into your busy schedule."" ",He is annoyed that Callie showed up late.,He is happy that Callie made it to the party. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Callie promised to bring a salad to Jason's dinner party. She arrived two hours late. Jason said, ""I'm so glad that you were able to fit us into your busy schedule."" What did Jason want to convey?
Options:
1) He is tired and is going to bed.
2) He is happy that Callie made it to the party.
3) He is annoyed that Callie showed up late.
4) He is hungry and wants to eat Callie's salad.
Answer: ",Jason,Callie,"{""'IncorrectNonSequitur'"": 'He is tired and is going to bed.', ""'IncorrectLiteral'"": 'He is happy that Callie made it to the party.', ""'CorrectNonLiteral'"": 'He is annoyed that Callie showed up late.', ""'IncorrectAssociate'"": ""He is hungry and wants to eat Callie's salad.""}",he,"""I'm annoyed that you showed up late.""","""I'm so happy to see you here! Welcome to the party.""""","""Thank you, Jason, I am glad to be here.""","""I'm sorry, Jason, I didn't mean to arrive late.""",,
11,irony,"John is a teacher at an elementary school. When talking with the principal about a new student, who did poorly on her entrance examination, John said,","John is a teacher at an elementary school. When talking with the principal about a new student, who did poorly on her entrance examination, ","John said, ","""This one is really sharp."" ",The student is not very clever.,Jon thinks the student is smart. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: John is a teacher at an elementary school. When talking with the principal about a new student, who did poorly on her entrance examination, John said, ""This one is really sharp."" What did John want to convey?
Options:
1) The pencils need to be sharpened.
2) The student is smart.
3) The entrance exam is unfair. 
4) The student is not very clever.
Answer: ",John,The principal,"{""'IncorrectNonSequitur'"": 'The pencils need to be sharpened.', ""'IncorrectLiteral'"": 'The student is smart.', ""'IncorrectAssociate'"": 'The entrance exam is unfair. ', ""'CorrectNonLiteral'"": 'The student is not very clever.'}",he,"""This student doesn't seem to be very insightful.""","""I believe the student is quite smart.""","""I agree with your assessment, John, the student is indeed intelligent.""",We should provide additional support to enhance the student's understanding.,,
12,irony,"Melissa's friend convinces her to accompany her to a nightclub that her friend says is ""super hot"". When they arrive, it is so cold inside that they can see their breath. Melissa turns to her friend and says, ","Melissa's friend convinces her to accompany her to a nightclub that her friend says is ""super hot"". When they arrive, it is so cold inside that they can see their breath. ","Melissa turns to her friend and says, ","""The heat is really on in here.""",It is too cold.,Melissa thinks it is too hot. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Melissa's friend convinces her to accompany her to a nightclub that her friend says is ""super hot"". When they arrive, it is so cold inside that they can see their breath. Melissa turns to her friend and says, ""The heat is really on in here."" What did Melissa want to convey?
Options:
1) It is too loud.
2) It is too bright. 
3) It is too hot.
4) It is too cold.
Answer: ",Melissa,Her friend,"{""'IncorrectNonSequitur'"": 'It is too loud.', ""'IncorrectAssociate'"": 'It is too bright. ', ""'IncorrectLiteral'"": 'It is too hot.', ""'CorrectNonLiteral'"": 'It is too cold.'}",she,"""The temperature is just unbearably low, don't you think?""","""I run a little hot, so It's just too hot for me.""","I understand, everyone has different comfort levels with temperature.","Yes, it is colder than I expected.",,
13,irony,"Your friend is working on his novel and is not making any progress. When you ask him how it is going he says, ",Your friend is working on his novel and is not making any progress.  You ask him how it is going.,"He says, ","""It couldn't be any better.""  ",He is unhappy with his work.,He is happy with his work. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Your friend is working on his novel and is not making any progress. When you ask him how it is going he says, ""It couldn't be any better.""  What does your friend want to convey?
Options:
1) He needs to polish his style.
2) He is unhappy with his work.
3) He needs to buy a new car.
4) He is happy with his work.
Answer: ",friend,You,"{""'IncorrectAssociate'"": 'He needs to polish his style.', ""'CorrectNonLiteral'"": 'He is unhappy with his work.', ""'IncorrectNonSequitur'"": 'He needs to buy a new car.', ""'IncorrectLiteral'"": 'He is happy with his work.'}",he,"""I'm not happy with my work.""","""I'm happy with my work.""",That's great to hear!,"I'm sorry to hear that, would you like to discuss what's going wrong?",,
14,irony,"Tom, who is who is a gourmet chef, was offered a job at a new restaurant. Tom's potential employer offered him really low pay and no benefits. When you ask Tom what he thinks of the offer he says,","Tom, who is who is a gourmet chef, was offered a job at a new restaurant. Tom's potential employer offered him really low pay and no benefits. You ask Tom what he thinks of the offer.","He says,"," ""Well, their generosity knows no bounds."" ",He is disappointed with the job offer. ,Tom is very excited about the job offer. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Tom, who is who is a gourmet chef, was offered a job at a new restaurant. Tom's potential employer offered him really low pay and no benefits. When you ask Tom what he thinks of the offer he says, ""Well, their generosity knows no bounds."" What does Tom want to convey?
Options:
1) He is glad to be employed
2) He is tired of jogging every morning.
3) He is excited about the job offer.
4) He is disappointed with the job offer. 
Answer: ",Tom,You,"{""'IncorrectAssociate'"": 'He is glad to be employed', ""'IncorrectNonSequitur'"": 'He is tired of jogging every morning.', ""'IncorrectLiteral'"": 'He is excited about the job offer.', ""'CorrectNonLiteral'"": 'He is disappointed with the job offer. '}",he,"""I'm very upset about their job offer.""","""I'm weirdly satisfied with their offer and quite excited about it"".","That's great to hear, Tom, it sounds like you're really pleased with the job offer.","I'm sorry to hear that you're disappointed with the job offer, Tom.",,
15,irony,"Megan and Kristine were looking after the neighbor's children one afternoon. The kids were energetic, enthusiastic, and well behaved. On the way home, Kristine said,","Megan and Kristine were looking after the neighbor's children one afternoon. The kids were energetic, enthusiastic, and well behaved. ","On the way home, Kristine said,"," ""Those kids were not fun at all."" ",Babysitting was an enjoyable experience.,Kristine thinks the babysitting was an unpleasant experience. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Megan and Kristine were looking after the neighbor's children one afternoon. The kids were energetic, enthusiastic, and well behaved. On the way home, Kristine said, ""Those kids were not fun at all."" What does Kristine want to convey?
Options:
1) Babysitting was an unpleasant experience.
2) Babysitting was an enjoyable experience.
3) Babysitting does not pay well.
4) Rock music should be prohibited. 
Answer: ",Kristine,Megan,"{""'IncorrectLiteral'"": 'Babysitting was an unpleasant experience.', ""'CorrectNonLiteral'"": 'Babysitting was an enjoyable experience.', ""'IncorrectAssociate'"": 'Babysitting does not pay well.', ""'IncorrectNonSequitur'"": 'Rock music should be prohibited. '}",she,"""I really had a great time babysitting, Megan. It was quite an enjoyable experience.""","""I really found that babysitting experience rather uncomfortable, to be honest.""","I understand, Kristine, babysitting isn't for everyone.","""I'm glad you enjoyed it, Kristine, I did too.""",,
16,irony,"Laura and Lynn were having coffee at a local caf&eacute;. They were talking about a boring date that Laura had had the night before. They had watched old reruns of cartoons all evening. Lynn said, ",Laura and Lynn were having coffee at a local caf&eacute;. They were talking about a boring date that Laura had had the night before. They had watched old reruns of cartoons all evening. ,"Lynn said, ","""That sounds so exciting.""  ",Lynn thinks Laura had a dull experience.,Lynn thinks that is a thrilling experience for Laura. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Laura and Lynn were having coffee at a local caf&eacute;. They were talking about a boring date that Laura had had the night before. They had watched old reruns of cartoons all evening. Lynn said, ""That sounds so exciting.""  What did Lynn want to convey?
Options:
1) Laura had a thrilling experience.
2) Laura had a dull experience.
3) Laura needs a babysitter.
4) Laura got food poisoning.
Answer: ",Lynn,Laura,"{""'IncorrectLiteral'"": 'Laura had a thrilling experience.', ""'CorrectNonLiteral'"": 'Laura had a dull experience.', ""'IncorrectAssociate'"": 'Laura needs a babysitter.', ""'IncorrectAssociate2'"": 'Laura got food poisoning.'}",Laura,"""Laura, your experience was rather uninteresting.""","""ThatÕs still a very thrilling experience for you!""","Yes, it absolutely is a thrilling experience for me.","""Yes, Lynn, it was indeed a dull evening.""",,
17,irony,"While Tom and a new acquaintance from work, Sara, were chatting at a party, they noticed a colleague across the room. She was standing alone holding a drink and a CD. Tom points at the girl and comments:","While Tom and a new acquaintance from work, Sara, were chatting at a party, they noticed a colleague across the room. She was standing alone holding a drink and a CD. Tom points at the girl. ",He comments:,"  ""The life of the party, right there."" ",Their colleague is quite unsociable.,Their colleague is very sociable. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: While Tom and a new acquaintance from work, Sara, were chatting at a party, they noticed a colleague across the room. She was standing alone holding a drink and a CD. Tom points at the girl and comments:  ""The life of the party, right there."" What did Tom want to convey?
Options:
1) Their colleague has good taste in fashion.
2) Their colleague is quite unsociable.
3) Their colleague is very sociable.
4) Their colleague has good taste in music.
Answer: ",Tom,Sara,"{""'IncorrectNonSequitur'"": 'Their colleague has good taste in fashion.', ""'CorrectNonLiteral'"": 'Their colleague is quite unsociable.', ""'IncorrectLiteral'"": 'Their colleague is very sociable.', ""'IncorrectAssociate'"": 'Their colleague has good taste in music.'}",he,"""You've noticed, haven't you? Our colleague doesn't seem to be very sociable.""","""You know, our colleague is quite the sociable type.""","Yes, he certainly enjoys engaging with others.","Yes, Tom, she does appear to be keeping to herself.",,
18,irony,"Jane and her best friend, Arthur, were selling chocolates door to door to raise money for a charity event. Jane and Arthur approached a house and tried to sell their candy to a mean couple. As they walked away, Jane comments:","Jane and her best friend, Arthur, were selling chocolates door to door to raise money for a charity event. Jane and Arthur approached a house and tried to sell their candy to a mean couple. ","As they walked away, Jane comments:"," ""People in this community are so nice!""  ",Jane thinks it is an unfriendly community.,Jane thinks it is an amicable community. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Jane and her best friend, Arthur, were selling chocolates door to door to raise money for a charity event. Jane and Arthur approached a house and tried to sell their candy to a mean couple. As they walked away, Jane comments: ""People in this community are so nice!""  What did Jane want to convey?
Options:
1) It is a community of chocolate lovers.
2) It is a community of animal lovers.
3) It is an amicable community.
4) It is an unfriendly community.
Answer: ",Jne,Arthur,"{""'IncorrectAssociate'"": 'It is a community of chocolate lovers.', ""'IncorrectNonSequitur'"": 'It is a community of animal lovers.', ""'IncorrectLiteral'"": 'It is an amicable community.', ""'CorrectNonLiteral'"": 'It is an unfriendly community.'}",she,"""I get the feeling that this community isn't very welcoming.""","""I really believe this community is quite friendly, don't you agree?""","Yes, Jane, I also find this community to be very friendly.","""I agree, Jane, they weren't exactly friendly to us.""",,
19,irony,"Penny, Juanita, and Jill have tickets to a basketball game. At halftime, Juanita offers to go get some drinks. Forty minutes later, she finally returns. Jill remarks, ","Penny, Juanita, and Jill have tickets to a basketball game. At halftime, Juanita offers to go get some drinks. Forty minutes later, she finally returns. ","Jill remarks, ","""That was quick."" ",Juanita is always so slow.,Jill thinks Juanita is always so fast. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Penny, Juanita, and Jill have tickets to a basketball game. At halftime, Juanita offers to go get some drinks. Forty minutes later, she finally returns, and Jill remarks, ""That was quick."" What did Jill want to convey?
Options:
1) Juanita is always so slow.
2) Juanita has the view of the game.
3) Juanita has the best cat.  
4) Juanita is always so fast.
Answer: ",Jill,Juanita,"{""'CorrectNonLiteral'"": 'Juanita is always so slow.', ""'IncorrectAssociate'"": 'Juanita has the view of the game.', ""'IncorrectNonSequitur'"": 'Juanita has the best cat.  ', ""'IncorrectLiteral'"": 'Juanita is always so fast.'}",Juanita,"""You're always taking so much time.""","""You're always so quick!""","""Thank you, Jill, I always try to be efficient.""",I apologize for taking so long.,,
20,irony,"Mark gave his former colleague Krista tickets to a lecture where he was a guest speaker. Within the first 20 minutes of the lecture, the audience started to leave. The next day Krista talked to Mary about the lecture. Krista said:","Mark gave his former colleague Krista tickets to a lecture where he was a guest speaker. Within the first 20 minutes of the lecture, the audience started to leave. The next day Krista talked to Mary about the lecture. ",Krista said:," "" Oh, Mark held the audience's attention so well."" ",Mark's speaking skills leave much to be desired.,Krista thinks Mark is a great speaker. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Mark gave his former colleague Krista tickets to a lecture where he was a guest speaker. Within the first 20 minutes of the lecture, the audience started to leave. The next day Krista talked to Mary about the lecture. Krista said: "" Oh, Mark held the audience's attention so well."" What did Krista want to convey?
Options:
1) Mark's speech was on captivating topic.
2) Mark's speech was about ants.  
3) Mark's speaking skills leave much to be desired.
4) Mark is a great speaker.
Answer: ",Krista,Mark,"{""'IncorrectAssociate'"": ""Mark's speech was on captivating topic."", ""'IncorrectNonSequitur'"": ""Mark's speech was about ants.  "", ""'CorrectNonLiteral'"": ""Mark's speaking skills leave much to be desired."", ""'IncorrectLiteral'"": 'Mark is a great speaker.'}",she,"""Your speaking skills need some improvement.""","""I think you're a great speaker.""","""Thank you, Krista, for your kind words.""","Thank you for the feedback, Krista, I'll work on improving my speaking skills.",,
21,irony,Tracy was in a dance recital and invited her roommate Steve to watch. Tracy tripped many times during her performance. The next day Steve was talking to Dawn about the recital. Steve said:,Tracy was in a dance recital and invited her roommate Steve to watch. Tracy tripped many times during her performance. The next day Steve was talking to Dawn about the recital. ,Steve said:," ""Some people have such natural grace!"" ",Steve thinks Tracy is not a good dancer.,Steve thinks Tracy is a great dancer. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Tracy was in a dance recital and invited her roommate Steve to watch. Tracy tripped many times during her performance. The next day Steve was talking to Dawn about the recital. Steve said: ""Some people have such natural grace!"" What did Steve want to convey?
Options:
1) Tracy's math skills are impressive.  
2) Tracy is a great dancer.
3) Tracy's dancing outfit is impressive.
4) Tracy is not a good dancer.
Answer: ",Steve,Dawn,"{""'IncorrectNonSequitur'"": ""Tracy's math skills are impressive.  "", ""'IncorrectLiteral'"": 'Tracy is a great dancer.', ""'IncorrectAssociate'"": ""Tracy's dancing outfit is impressive."", ""'CorrectNonLiteral'"": 'Tracy is not a good dancer.'}",Tracy,"""I don't think Tracy a good dancer.""","""I think Stacy is a great dancer, really.""",Stacy is indeed a great dancer.,"Steve, you should support Tracy since she is your friend and roommate.",,
22,irony,"John finished the race way ahead of the other competitors. His friend laughed and said to him,",John finished the race way ahead of the other competitors. ,"His friend laughed and said to him,"," ""You are so slow!"" ",His friend thinks John is an outstanding runner.,His friend thinks John is not a good runner. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: John finished the race way ahead of the other competitors. His friend laughed and said to him, ""You are so slow!"" What did his friend want to convey?
Options:
1) John needs new running shoes.
2) John is an outstanding runner.
3) John needs new computer. 
4) John is not a good runner.
Answer: ",John's friend,John,"{""'IncorrectAssociate'"": 'John needs new running shoes.', ""'CorrectNonLiteral'"": 'John is an outstanding runner.', ""'IncorrectNonSequitur'"": 'John needs new computer. ', ""'IncorrectLiteral'"": 'John is not a good runner.'}",John,"""You're an outstanding runner, no doubt about it!""","""I doubt you're much of a runner!""","""That's okay, I may not be the best but I still enjoy running.""","""Thank you, I've trained hard to improve my running.""",,
